Datos de caudal medio diario en m3/s para estaciones de aforo en ríos,,,,,,,,,,,,,,
Estacion,Ao,Dia,Oct,Nov,Dic,Ene,Feb,Mar,Abr,May,Jun,Jul,Ago,Sep
5125,2007-2008,1,0.15,0.19,0.23,0.20,0.25,0.53,0.37,0.84,0.61,0.21,0.92,0.10
5125,2007-2008,2,0.19,0.20,0.23,0.26,0.25,0.51,0.37,0.79,0.67,0.18,0.96,0.11
5125,2007-2008,3,0.24,0.19,0.23,1.05,0.25,0.44,0.37,0.79,0.53,0.14,0.98,0.11
5125,2007-2008,4,0.24,0.17,0.23,4.30,0.25,0.47,0.33,0.72,0.45,0.11,1.04,0.12
5125,2007-2008,5,0.23,0.15,0.23,3.00,0.25,0.52,0.30,0.61,0.42,0.09,0.64,0.11
5125,2007-2008,6,0.21,0.15,0.23,1.31,0.25,0.50,0.30,0.53,0.39,0.09,0.33,0.10
5125,2007-2008,7,0.19,0.14,0.23,0.89,0.25,0.48,0.30,0.49,0.37,0.33,0.45,0.10
5125,2007-2008,8,0.18,0.14,0.23,0.52,0.25,0.48,0.34,0.48,0.36,0.45,1.02,0.11
5125,2007-2008,9,0.18,0.14,0.23,0.41,0.27,0.48,2.42,0.49,0.43,0.23,1.02,0.11
5125,2007-2008,10,0.16,0.13,0.23,0.31,0.26,0.44,14.90,0.46,0.38,0.16,1.04,0.11
5125,2007-2008,11,0.15,0.13,0.23,0.25,0.25,0.41,-,0.44,0.25,0.42,1.05,0.12
5125,2007-2008,12,0.14,0.13,0.23,0.31,0.26,0.39,15.90,0.49,0.19,0.70,0.69,0.14
5125,2007-2008,13,0.14,0.13,0.23,0.32,0.26,0.38,4.97,0.49,0.20,0.74,0.36,0.99
5125,2007-2008,14,0.14,0.12,0.22,0.32,0.27,0.38,2.67,0.48,0.21,0.70,0.44,0.64
5125,2007-2008,15,0.14,0.11,0.19,0.30,0.26,0.38,1.34,0.47,0.22,0.54,1.02,0.30
5125,2007-2008,16,0.12,0.13,0.19,0.27,0.24,0.39,0.81,0.49,0.22,0.28,1.03,0.22
5125,2007-2008,17,0.12,0.16,0.19,0.24,0.23,0.41,0.52,0.47,0.15,0.18,1.07,0.19
5125,2007-2008,18,0.12,0.18,0.20,0.31,0.24,0.41,0.46,0.46,0.11,0.51,0.66,0.17
5125,2007-2008,19,0.12,0.20,0.21,0.30,0.34,0.40,1.28,0.46,0.11,0.77,0.32,0.15
5125,2007-2008,20,0.12,2.36,0.20,0.24,3.90,0.39,5.88,0.45,0.15,0.75,0.24,0.13
5125,2007-2008,21,0.12,-,0.22,0.30,5.02,0.40,12.80,0.51,0.14,0.69,0.21,0.14
5125,2007-2008,22,0.12,27.70,0.21,0.28,3.09,0.41,6.25,0.46,0.18,0.57,0.18,0.16
5125,2007-2008,23,0.12,8.55,0.22,0.25,1.61,0.42,3.50,0.70,0.13,0.29,0.17,0.21
5125,2007-2008,24,0.12,3.60,0.25,0.25,1.50,0.43,2.33,0.72,0.11,0.25,0.14,0.29
5125,2007-2008,25,0.12,2.33,0.23,0.25,1.42,0.42,1.27,0.64,0.10,0.55,0.13,0.25
5125,2007-2008,26,0.14,1.05,0.21,0.25,1.12,0.38,1.01,0.70,0.10,0.87,0.12,0.16
5125,2007-2008,27,0.17,0.79,0.20,0.25,0.76,0.37,0.96,0.54,0.11,0.92,0.10,0.14
5125,2007-2008,28,0.20,0.67,0.22,0.25,0.69,0.37,0.91,0.50,0.13,0.93,0.09,0.14
5125,2007-2008,29,0.20,0.38,0.21,0.25,0.60,0.37,0.87,0.63,0.18,0.65,0.08,0.15
5125,2007-2008,30,0.19,0.27,0.21,0.25,-,0.38,0.85,0.64,0.22,0.31,0.08,0.16
5125,2007-2008,31,0.19,-,0.20,0.25,-,0.38,-,0.70,-,0.28,0.09,-
5125,2008-2009,1,0.14,0.23,3.05,0.90,1.13,0.98,0.76,0.79,0.56,0.35,0.68,0.44
5125,2008-2009,2,0.08,7.70,2.60,0.46,4.50,1.02,0.87,0.66,0.55,0.32,0.77,0.26
5125,2008-2009,3,0.13,5.59,1.28,0.49,21.00,2.22,0.88,0.65,0.55,0.30,0.38,0.55
5125,2008-2009,4,0.14,4.48,0.63,0.79,10.90,3.38,0.91,0.59,0.48,0.37,0.19,0.93
5125,2008-2009,5,0.14,1.24,0.44,5.66,14.50,2.96,0.93,0.56,0.47,0.38,0.13,0.94
5125,2008-2009,6,0.14,0.89,0.25,2.73,-,2.04,0.96,0.52,0.44,0.34,0.15,0.93
5125,2008-2009,7,0.14,0.76,0.19,0.74,24.70,1.64,0.99,0.50,0.41,0.33,0.60,0.93
5125,2008-2009,8,0.14,0.44,0.14,0.68,9.93,1.49,1.00,0.49,0.39,0.29,0.49,0.39
5125,2008-2009,9,0.13,0.30,0.24,0.67,5.47,1.09,1.01,0.48,0.36,0.29,0.32,0.23
5125,2008-2009,10,0.12,0.23,0.34,0.67,3.90,1.03,1.01,3.95,0.29,0.27,0.29,0.50
5125,2008-2009,11,0.13,0.26,1.72,0.67,3.33,0.98,0.97,2.02,0.28,0.24,0.26,0.87
5125,2008-2009,12,0.16,0.25,2.98,0.67,3.07,0.97,0.92,0.89,0.27,0.25,0.18,0.92
5125,2008-2009,13,0.17,0.25,0.93,0.66,2.83,1.00,0.88,0.66,0.27,0.21,0.21,0.91
5125,2008-2009,14,1.18,0.26,0.79,0.59,2.52,1.01,0.80,0.54,0.26,0.14,0.60,0.88
5125,2008-2009,15,0.65,0.27,1.27,0.57,2.18,1.00,0.72,0.55,0.25,0.10,0.64,0.46
5125,2008-2009,16,0.24,0.28,4.83,0.79,1.82,1.00,0.65,0.54,0.25,0.10,0.68,0.34
5125,2008-2009,17,0.19,0.29,1.38,0.76,1.59,0.99,0.65,0.55,0.24,0.12,0.70,0.41
5125,2008-2009,18,0.19,0.28,0.87,0.64,1.41,0.99,0.82,0.50,0.23,0.14,0.32,0.36
5125,2008-2009,19,0.19,0.27,0.76,0.49,1.30,0.98,0.93,0.55,0.22,0.15,0.21,0.25
5125,2008-2009,20,0.19,0.23,0.58,0.62,1.23,0.98,0.94,0.79,0.22,0.14,0.48,0.18
5125,2008-2009,21,0.18,0.23,0.41,0.58,1.19,1.00,1.00,7.22,0.26,0.18,0.85,0.12
5125,2008-2009,22,0.18,0.22,0.36,0.99,1.14,0.95,1.02,10.50,3.87,0.15,0.73,0.12
5125,2008-2009,23,0.18,0.21,0.39,1.05,1.10,0.97,0.96,11.30,9.14,0.17,0.72,0.14
5125,2008-2009,24,0.21,0.20,0.42,0.92,1.07,0.96,0.89,11.80,10.00,0.33,0.86,0.16
5125,2008-2009,25,1.75,0.19,0.43,2.40,1.04,0.92,0.83,12.10,7.54,0.43,0.37,0.18
5125,2008-2009,26,0.93,0.18,0.44,2.67,1.02,0.89,0.82,7.09,1.36,0.55,0.24,0.19
5125,2008-2009,27,0.59,0.19,0.50,2.51,0.98,0.89,0.83,1.33,0.63,0.57,0.48,0.19
5125,2008-2009,28,0.32,0.18,0.53,3.33,0.98,0.91,0.76,0.97,0.49,0.26,0.92,0.21
5125,2008-2009,29,0.26,0.19,0.52,1.28,-,0.94,0.87,0.82,0.45,0.17,0.94,0.22
5125,2008-2009,30,0.20,0.23,0.59,1.02,-,0.92,0.82,0.67,0.41,0.15,0.97,0.22
5125,2008-2009,31,0.21,-,1.03,0.99,-,0.82,-,0.60,-,0.53,0.98,-
5125,2010-2011,1,1.67,1.40,8.86,33.00,5.34,4.91,3.45,2.95,2.95,2.95,2.94,2.94
5125,2010-2011,2,1.49,1.40,5.23,19.61,4.78,4.50,3.36,2.95,2.95,2.94,2.94,2.95
5125,2010-2011,3,1.43,1.40,4.39,14.09,4.40,4.42,3.31,2.95,2.95,2.95,2.94,2.95
5125,2010-2011,4,1.42,1.40,3.76,11.20,4.19,4.27,3.37,2.94,2.95,2.95,2.95,2.95
5125,2010-2011,5,1.42,1.40,2.89,9.42,4.06,4.22,3.53,2.95,2.95,2.95,2.95,2.95
5125,2010-2011,6,1.42,1.40,5.98,8.30,3.94,4.20,3.45,2.95,2.95,2.95,2.95,2.95
5125,2010-2011,7,1.42,1.40,40.71,10.79,3.88,4.35,3.39,2.95,2.95,2.94,2.95,2.95
5125,2010-2011,8,1.42,1.40,39.12,22.68,3.87,4.22,3.22,2.95,2.94,2.95,2.95,2.95
5125,2010-2011,9,1.42,1.40,22.71,28.27,3.80,4.10,3.08,2.94,2.94,2.95,2.94,2.95
5125,2010-2011,10,1.42,1.40,17.24,22.92,3.78,4.42,3.00,2.95,2.95,2.95,2.95,2.95
5125,2010-2011,11,1.42,1.40,12.31,15.25,3.78,6.07,2.97,2.94,2.95,2.94,2.95,2.95
5125,2010-2011,12,1.42,1.40,9.08,13.32,3.75,6.37,2.94,2.94,2.95,2.95,2.95,2.95
5125,2010-2011,13,1.42,1.40,6.76,11.28,3.73,7.15,2.94,2.95,2.95,2.95,2.95,2.95
5125,2010-2011,14,1.42,1.40,5.44,9.48,3.78,12.20,2.95,2.95,2.95,2.95,2.95,2.95
5125,2010-2011,15,1.42,1.40,4.52,8.21,13.67,22.48,2.95,2.95,2.95,2.95,2.95,2.95
5125,2010-2011,16,1.42,1.40,3.93,7.37,38.24,15.81,2.95,2.95,2.95,2.95,2.95,2.95
5125,2010-2011,17,1.42,1.39,7.88,6.78,34.26,11.13,2.95,2.95,2.95,2.95,2.94,2.94
5125,2010-2011,18,1.42,1.37,16.29,6.44,22.17,8.38,2.95,2.95,2.95,2.95,2.94,2.95
5125,2010-2011,19,1.42,1.37,36.24,6.16,14.57,6.66,2.95,2.94,2.95,2.95,2.95,2.95
5125,2010-2011,20,1.40,1.37,25.42,5.91,13.86,5.54,2.95,2.94,2.95,2.95,2.95,2.95
5125,2010-2011,21,1.40,1.37,34.20,5.58,13.23,4.99,2.95,2.95,2.94,2.95,2.95,2.94
5125,2010-2011,22,1.40,1.37,46.31,5.24,10.50,4.58,2.95,2.95,2.95,2.95,2.95,2.95
5125,2010-2011,23,1.40,1.37,42.21,4.87,8.38,4.27,2.95,2.95,2.95,2.95,2.95,2.95
5125,2010-2011,24,1.40,1.37,27.38,4.64,7.32,4.03,2.95,2.94,2.95,2.95,2.95,2.95
5125,2010-2011,25,1.40,1.37,19.14,4.60,6.48,3.89,2.94,2.95,2.95,2.94,2.94,2.95
5125,2010-2011,26,1.40,1.37,15.08,4.63,5.89,3.76,2.95,2.94,2.95,2.95,2.95,2.95
5125,2010-2011,27,1.40,1.87,12.71,4.85,5.52,3.55,2.95,2.95,2.95,2.95,2.95,2.94
5125,2010-2011,28,1.40,3.10,10.39,6.48,5.21,3.59,2.95,2.95,2.95,2.95,2.95,2.95
5125,2010-2011,29,1.40,8.91,8.63,10.13,-,3.54,2.95,2.95,2.95,2.94,2.95,2.95
5125,2010-2011,30,1.40,9.83,10.12,9.27,-,3.53,2.95,2.95,2.95,2.95,2.94,2.94
5125,2010-2011,31,1.40,-,42.17,6.04,-,3.52,-,2.95,-,2.95,2.95,-
5125,2011-2012,1,2.95,2.95,2.94,2.94,2.95,2.95,-,-,0.86,0.86,0.86,0.86
5125,2011-2012,2,2.95,2.95,2.94,2.95,2.95,2.95,-,-,0.86,0.86,0.86,0.86
5125,2011-2012,3,2.95,2.95,2.95,2.94,2.95,2.95,-,-,0.86,0.86,0.86,0.86
5125,2011-2012,4,2.94,2.94,2.95,2.95,2.95,2.95,-,-,0.86,0.86,0.86,0.86
5125,2011-2012,5,2.95,2.95,2.95,2.95,2.95,2.95,-,-,0.86,0.86,0.86,0.86
5125,2011-2012,6,2.95,2.95,2.95,2.95,2.95,2.95,-,-,0.86,0.86,0.86,0.86
5125,2011-2012,7,2.95,2.95,2.95,2.95,2.95,2.94,-,-,0.86,0.86,0.86,0.86
5125,2011-2012,8,2.95,2.95,2.95,2.95,2.95,2.95,-,-,0.86,0.86,0.86,0.86
5125,2011-2012,9,2.95,2.95,2.95,2.94,2.95,2.95,-,-,0.86,0.86,0.86,0.86
5125,2011-2012,10,2.95,2.95,2.95,2.95,2.95,2.95,-,-,0.86,0.86,0.86,0.86
5125,2011-2012,11,2.94,2.95,2.95,2.95,2.95,2.95,-,0.86,0.86,0.86,0.86,0.86
5125,2011-2012,12,2.95,2.95,2.95,2.95,2.95,2.95,-,0.86,0.86,0.86,0.86,0.86
5125,2011-2012,13,2.95,2.95,2.95,2.95,2.95,2.95,-,0.86,0.86,0.86,0.86,0.86
5125,2011-2012,14,2.95,2.95,2.95,2.95,2.95,2.95,-,0.86,0.86,0.86,0.86,0.86
5125,2011-2012,15,2.95,2.95,2.95,2.95,2.95,-,-,0.86,0.86,0.86,0.86,0.86
5125,2011-2012,16,2.95,2.95,2.95,2.95,2.95,-,-,0.86,0.86,0.86,0.86,0.86
5125,2011-2012,17,2.84,2.95,2.95,2.94,2.95,-,-,0.86,0.86,0.86,0.86,0.86
5125,2011-2012,18,2.95,2.94,2.95,2.95,2.95,-,-,0.86,0.86,0.86,0.86,0.86
5125,2011-2012,19,2.95,2.94,2.95,2.95,2.95,-,-,0.86,0.86,0.86,0.86,0.86
5125,2011-2012,20,2.95,2.95,2.95,2.95,2.95,-,-,0.86,0.86,0.86,0.86,0.86
5125,2011-2012,21,2.95,2.95,2.95,2.95,2.95,-,-,0.86,0.86,0.86,0.86,0.86
5125,2011-2012,22,2.95,2.95,2.95,2.95,2.95,-,-,0.86,0.86,0.86,0.86,0.86
5125,2011-2012,23,2.95,2.95,2.95,2.95,2.95,-,-,0.86,0.86,0.86,0.86,0.86
5125,2011-2012,24,2.95,2.95,2.95,2.94,2.95,-,-,0.86,0.86,0.86,0.86,0.86
5125,2011-2012,25,2.95,2.94,2.95,2.94,2.95,-,-,0.86,0.86,0.86,0.86,0.86
5125,2011-2012,26,2.95,2.95,2.95,2.94,2.95,-,-,0.86,0.86,0.86,0.86,0.86
5125,2011-2012,27,2.95,2.95,2.95,2.95,2.95,-,-,0.86,0.86,0.86,0.86,0.86
5125,2011-2012,28,2.95,2.95,2.95,2.95,2.95,-,-,0.86,0.86,0.86,0.86,0.86
5125,2011-2012,29,2.95,2.95,2.95,2.95,2.95,-,-,0.86,0.86,0.86,0.86,0.86
5125,2011-2012,30,2.95,2.95,2.95,2.94,-,-,-,0.86,0.86,0.86,0.86,0.86
5125,2011-2012,31,2.95,-,2.95,2.94,-,-,-,0.86,-,0.86,0.86,-
